R,surv_threshold,n_mites,correct_id
0.01,1,1,0.503
0.05,1,1,0.5008
0.1,1,1,0.5054
0.2,1,1,0.515
0.3,1,1,0.539
0.5,1,1,0.6122
0.8,1,1,0.7974
1.0,1,1,0.96
0.01,2,1,0.4808
0.05,2,1,0.5012
0.1,2,1,0.4912
0.2,2,1,0.499
0.3,2,1,0.5086
0.5,2,1,0.4924
0.8,2,1,0.4986
1.0,2,1,0.4962
0.01,3,1,0.497
0.05,3,1,0.4946
0.1,3,1,0.4978
0.2,3,1,0.5034
0.3,3,1,0.4936
0.5,3,1,0.4966
0.8,3,1,0.5088
1.0,3,1,0.4994
0.01,4,1,0.4856
0.05,4,1,0.4862
0.1,4,1,0.5018
0.2,4,1,0.5054
0.3,4,1,0.503
0.5,4,1,0.5016
0.8,4,1,0.495
1.0,4,1,0.509
0.01,5,1,0.5084
0.05,5,1,0.4918
0.1,5,1,0.5034
0.2,5,1,0.4924
0.3,5,1,0.499
0.5,5,1,0.499
0.8,5,1,0.508
1.0,5,1,0.4964
0.01,6,1,0.4882
0.05,6,1,0.4978
0.1,6,1,0.4962
0.2,6,1,0.4962
0.3,6,1,0.5056
0.5,6,1,0.5022
0.8,6,1,0.4942
1.0,6,1,0.4926
0.01,7,1,0.4944
0.05,7,1,0.508
0.1,7,1,0.5052
0.2,7,1,0.5008
0.3,7,1,0.495
0.5,7,1,0.501
0.8,7,1,0.477
1.0,7,1,0.4936
0.01,8,1,0.5084
0.05,8,1,0.4898
0.1,8,1,0.5052
0.2,8,1,0.5042
0.3,8,1,0.487
0.5,8,1,0.4882
0.8,8,1,0.5012
1.0,8,1,0.5124
0.01,9,1,0.503
0.05,9,1,0.5036
0.1,9,1,0.4992
0.2,9,1,0.4974
0.3,9,1,0.4952
0.5,9,1,0.5048
0.8,9,1,0.5016
1.0,9,1,0.4952
0.01,10,1,0.4974
0.05,10,1,0.4872
0.1,10,1,0.5066
0.2,10,1,0.5014
0.3,10,1,0.5014
0.5,10,1,0.482
0.8,10,1,0.5048
1.0,10,1,0.4992
0.01,1,3,0.5024
0.05,1,3,0.5068
0.1,1,3,0.5158
0.2,1,3,0.5402
0.3,1,3,0.6294
0.5,1,3,0.7652
0.8,1,3,0.9582
1.0,1,3,0.9952
0.01,2,3,0.5024
0.05,2,3,0.499
0.1,2,3,0.51
0.2,2,3,0.5018
0.3,2,3,0.5006
0.5,2,3,0.5762
0.8,2,3,0.8144
1.0,2,3,0.9928
0.01,3,3,0.489
0.05,3,3,0.495
0.1,3,3,0.5064
0.2,3,3,0.4948
0.3,3,3,0.5048
0.5,3,3,0.5006
0.8,3,3,0.613
1.0,3,3,0.886
0.01,4,3,0.5006
0.05,4,3,0.4868
0.1,4,3,0.5118
0.2,4,3,0.4958
0.3,4,3,0.5076
0.5,4,3,0.4926
0.8,4,3,0.4968
1.0,4,3,0.4904
0.01,5,3,0.4982
0.05,5,3,0.5108
0.1,5,3,0.513
0.2,5,3,0.504
