parameters,lower,upper
muR,0.0002687752025983555,0.1372765178625265
sdR,0.07972305014937499,0.28951521959411286
Tintinara R2,0.17625347027329985,0.2649445189309006
Tintinara S2,3.1878059329713407e-6,0.07272447967687326
Wilalooka-R1,0.23697482725836982,0.33740274637737044
Wilalooka-R2,0.14615936646626815,0.22877415867571055
Rokewood,2.9854795632711132e-5,0.04362301871292721
Keith,3.172590607839718e-5,0.07728316871183295
Kellalac,7.660584691736396e-5,0.08359921003077311
Toolondo,1.8352653206073317e-5,0.08617131652201242
interceptRR,-4.89592860729762,-1.5307831651239692
interceptSS,3.380644359335237,15.881773475426398
slope,0.16237888598584477,0.6730746405710416
