parameters,lower,upper
Tintinara R2,0.15353152132726997,0.25862390825784226
Tintinara S2,3.8104053496458074e-6,0.09079922674812897
Wilalooka-1 (clover),0.061852450376809955,0.15098167856417136
Wilalooka-2 (grass),0.11198686790500896,0.20637496732963578
Rokewood,1.106113843389033e-6,0.031176224579753043
Keith,0.377680343959224,0.9999635699567
Kellalac,0.37417940155795804,0.9999900728087999
Toolondo,0.31031868400598783,0.999971029455589
interceptRR,4.192412866133628,21.877013223614554
interceptSS,2.4459033307533886,3.281565273976009
slope,-0.042110636559690856,0.1695476922041994
